L,X,mode,simulations,len_data
hs,0.05,bal,0.8615089312747372,6000
hs,0.05,unbal1,0.8738540244784061,6000
hs,0.05,unbal2,0.8695627974705822,6000
hs,0.05,adj,0.8831002795989091,6000
hs,0.1,bal,0.8640872724626532,6000
hs,0.1,unbal1,0.845696915910534,6000
hs,0.1,unbal2,0.8757468251589169,6000
hs,0.1,adj,0.8704114871278172,6000
hs,0.15,bal,0.8632338985562411,6000
hs,0.15,unbal1,0.8535633664531954,6000
hs,0.15,unbal2,0.8331141683396963,6000
hs,0.15,adj,0.8342388792980052,6000
hs,0.2,bal,0.8217149257804168,6000
hs,0.2,unbal1,0.8362284219515468,6000
hs,0.2,unbal2,0.8416258984359235,6000
hs,0.2,adj,0.8356720219297601,6000
hs,0.25,bal,0.8289303308102076,6000
hs,0.25,unbal1,0.8296350954396332,6000
hs,0.25,unbal2,0.8259077011764501,6000
hs,0.25,adj,0.8064536096822776,6000
hs,0.3,bal,0.7985954137154423,6000
hs,0.3,unbal1,0.794275037777113,6000
hs,0.3,unbal2,0.784856786411138,6000
hs,0.3,adj,0.775589601560313,6000
ol,0.05,bal,0.88778025111585,6000
ol,0.05,unbal1,0.8888356476710532,6000
ol,0.05,unbal2,0.8758060157837136,6000
ol,0.05,adj,0.9075743195249186,6000
ol,0.1,bal,0.8958622346980598,6000
ol,0.1,unbal1,0.8796701552645946,6000
ol,0.1,unbal2,0.8956398822652292,6000
ol,0.1,adj,0.8951003361865096,6000
ol,0.15,bal,0.8703125275654462,6000
ol,0.15,unbal1,0.8810766445551085,6000
ol,0.15,unbal2,0.8833423799552614,6000
ol,0.15,adj,0.8970722563097229,6000
ol,0.2,bal,0.8648206069701759,6000
ol,0.2,unbal1,0.8675918413245782,6000
ol,0.2,unbal2,0.859609279809929,6000
ol,0.2,adj,0.8606836057238324,6000
ol,0.25,bal,0.838149352351174,6000
ol,0.25,unbal1,0.8462864379017792,6000
ol,0.25,unbal2,0.8460888009254798,6000
ol,0.25,adj,0.8485752898250918,6000
ol,0.3,bal,0.8294100487153327,6000
ol,0.3,unbal1,0.8306175805245573,6000
ol,0.3,unbal2,0.8244357217030114,6000
ol,0.3,adj,0.8313553190442611,6000
