L,X,mode,simulations,len_data
hs,0.05,bal,0.019408960607151193,6000
hs,0.05,unbal1,0.058330508258442104,6000
hs,0.05,unbal2,0.041004485007623825,6000
hs,0.05,adj,0.045266731210301336,6000
hs,0.1,bal,0.00758510573407023,6000
hs,0.1,unbal1,0.0011715921108921834,6000
hs,0.1,unbal2,0.03483956627001372,6000
hs,0.1,adj,0.021587384110192398,6000
hs,0.15,bal,0.11247379176368316,6000
hs,0.15,unbal1,0.03238438279690842,6000
hs,0.15,unbal2,0.024904062121609838,6000
hs,0.15,adj,0.0368241040190061,6000
hs,0.2,bal,0.08994052684174642,6000
hs,0.2,unbal1,0.010971595899595177,6000
hs,0.2,unbal2,0.05664650685472622,6000
hs,0.2,adj,0.014445151744948481,6000
hs,0.25,bal,0.03992119058635496,6000
hs,0.25,unbal1,0.027349672776129486,6000
hs,0.25,unbal2,0.08863992951396443,6000
hs,0.25,adj,0.02249921306636593,6000
hs,0.3,bal,0.019736498984363304,6000
hs,0.3,unbal1,0.07123319962355829,6000
hs,0.3,unbal2,0.09006371836844423,6000
hs,0.3,adj,0.04197421476509833,6000
ol,0.05,bal,0.01667917805152641,6000
ol,0.05,unbal1,0.000462317478035823,6000
ol,0.05,unbal2,0.07066353715223567,6000
ol,0.05,adj,0.0001946091317881482,6000
ol,0.1,bal,0.016139900141954433,6000
ol,0.1,unbal1,0.04439830109700549,6000
ol,0.1,unbal2,0.029163736559823072,6000
ol,0.1,adj,0.022976135106384854,6000
ol,0.15,bal,0.020594278642535158,6000
ol,0.15,unbal1,0.055372609966993336,6000
ol,0.15,unbal2,0.09035830749347801,6000
ol,0.15,adj,0.000599338413774908,6000
ol,0.2,bal,0.03713815169980128,6000
ol,0.2,unbal1,0.04292319704045855,6000
ol,0.2,unbal2,0.07167890933354693,6000
ol,0.2,adj,0.008512639177838954,6000
ol,0.25,bal,0.03369962271054583,6000
ol,0.25,unbal1,0.08538980638732513,6000
ol,0.25,unbal2,0.08622417450820408,6000
ol,0.25,adj,0.0019955880815784033,6000
ol,0.3,bal,0.01952103856007259,6000
ol,0.3,unbal1,0.053325010461608646,6000
ol,0.3,unbal2,0.11727820011774703,6000
ol,0.3,adj,0.0009517656246821327,6000
