L,X,mode,simulations,len_data
hs,0.05,bal,0.04270092785383267,6000
hs,0.05,unbal1,0.018915419174606596,6000
hs,0.05,unbal2,0.03998906926413376,6000
hs,0.05,adj,0.0060905890616277936,6000
hs,0.1,bal,0.005157810719808031,6000
hs,0.1,unbal1,0.07643004310329765,6000
hs,0.1,unbal2,0.034621127510319094,6000
hs,0.1,adj,0.04315061254625524,6000
hs,0.15,bal,0.03412985013475023,6000
hs,0.15,unbal1,0.04599192123996715,6000
hs,0.15,unbal2,0.01846668181990585,6000
hs,0.15,adj,0.07104591616292799,6000
hs,0.2,bal,0.0778284468339549,6000
hs,0.2,unbal1,0.03270743416382205,6000
hs,0.2,unbal2,0.004971671873165495,6000
hs,0.2,adj,0.022026315114067663,6000
hs,0.25,bal,0.05492503370013496,6000
hs,0.25,unbal1,0.009727372046973937,6000
hs,0.25,unbal2,0.10058117767754535,6000
hs,0.25,adj,0.07532198202278872,6000
hs,0.3,bal,0.007950778829720229,6000
hs,0.3,unbal1,0.011501219553086528,6000
hs,0.3,unbal2,0.10278790867063739,6000
hs,0.3,adj,0.07258509433534405,6000
ol,0.05,bal,0.03770190236518778,6000
ol,0.05,unbal1,0.019644866615658008,6000
ol,0.05,unbal2,0.10635859381792445,6000
ol,0.05,adj,0.03529391254285974,6000
ol,0.1,bal,0.00534605599790805,6000
ol,0.1,unbal1,0.02317029702700668,6000
ol,0.1,unbal2,0.034630439933761914,6000
ol,0.1,adj,0.007041528666019481,6000
ol,0.15,bal,0.03467624361664057,6000
ol,0.15,unbal1,0.024469778345525217,6000
ol,0.15,unbal2,0.05355664990618825,6000
ol,0.15,adj,0.01621011077761647,6000
ol,0.2,bal,0.023584004977842188,6000
ol,0.2,unbal1,0.052395974470426654,6000
ol,0.2,unbal2,0.0789957148080071,6000
ol,0.2,adj,0.0028005817587176685,6000
ol,0.25,bal,0.005257999492188303,6000
ol,0.25,unbal1,0.05176644339164105,6000
ol,0.25,unbal2,0.09177664191027485,6000
ol,0.25,adj,0.0053144837369522024,6000
ol,0.3,bal,0.00023920265038801514,6000
ol,0.3,unbal1,0.06689755420933174,6000
ol,0.3,unbal2,0.13126035090337201,6000
ol,0.3,adj,0.0051992903927962075,6000
