L,X,mode,simulations,len_data
hs,0.05,bal,0.8755073138037217,6000
hs,0.05,unbal1,0.8386084576918533,6000
hs,0.05,unbal2,0.8758655781790303,6000
hs,0.05,adj,0.8766456484793019,6000
hs,0.1,bal,0.8517347115944058,6000
hs,0.1,unbal1,0.8634444429698751,6000
hs,0.1,unbal2,0.8360654879557411,6000
hs,0.1,adj,0.87370508604008,6000
hs,0.15,bal,0.7758399910059625,6000
hs,0.15,unbal1,0.8561564956416706,6000
hs,0.15,unbal2,0.8508509568829593,6000
hs,0.15,adj,0.8618361993329874,6000
hs,0.2,bal,0.8098218019221554,6000
hs,0.2,unbal1,0.8261604970715191,6000
hs,0.2,unbal2,0.843294021225176,6000
hs,0.2,adj,0.8452273694152912,6000
hs,0.25,bal,0.8213557347651935,6000
hs,0.25,unbal1,0.8248691662128391,6000
hs,0.25,unbal2,0.8205112023059525,6000
hs,0.25,adj,0.8253251028708146,6000
hs,0.3,bal,0.7949544134920918,6000
hs,0.3,unbal1,0.783662017008916,6000
hs,0.3,unbal2,0.7866318100209114,6000
hs,0.3,adj,0.7975646192172274,6000
ol,0.05,bal,0.8980828764274975,6000
ol,0.05,unbal1,0.8849931846532005,6000
ol,0.05,unbal2,0.8856401434986322,6000
ol,0.05,adj,0.9104238194794895,6000
ol,0.1,bal,0.8870954152411985,6000
ol,0.1,unbal1,0.8737450154693112,6000
ol,0.1,unbal2,0.897157744692932,6000
ol,0.1,adj,0.9008783992488149,6000
ol,0.15,bal,0.885311577363397,6000
ol,0.15,unbal1,0.8908003197551015,6000
ol,0.15,unbal2,0.8840590778243183,6000
ol,0.15,adj,0.9012789327072067,6000
ol,0.2,bal,0.8633765764154606,6000
ol,0.2,unbal1,0.8769017865794575,6000
ol,0.2,unbal2,0.8533579642669704,6000
ol,0.2,adj,0.8670638978690319,6000
ol,0.25,bal,0.8489959556706608,6000
ol,0.25,unbal1,0.8420954292738166,6000
ol,0.25,unbal2,0.8408044536856645,6000
ol,0.25,adj,0.8387110009711246,6000
ol,0.3,bal,0.8403333333333334,6000
ol,0.3,unbal1,0.8081029662756282,6000
ol,0.3,unbal2,0.8313656331841973,6000
ol,0.3,adj,0.8215847920828907,6000
