L,X,mode,simulations,len_data
hs,0.05,bal,0.8642169474558542,6000
hs,0.05,unbal1,0.8584821315607504,6000
hs,0.05,unbal2,0.8443822141763694,6000
hs,0.05,adj,0.8586357970983917,6000
hs,0.1,bal,0.8274127955879882,6000
hs,0.1,unbal1,0.8419544313050848,6000
hs,0.1,unbal2,0.8628557814359227,6000
hs,0.1,adj,0.8780270393895606,6000
hs,0.15,bal,0.8559242448176723,6000
hs,0.15,unbal1,0.858889220623117,6000
hs,0.15,unbal2,0.8713405868060411,6000
hs,0.15,adj,0.8717064982344903,6000
hs,0.2,bal,0.8421203098950671,6000
hs,0.2,unbal1,0.8365067010726601,6000
hs,0.2,unbal2,0.8349965754213069,6000
hs,0.2,adj,0.8410059200853535,6000
hs,0.25,bal,0.823201786609147,6000
hs,0.25,unbal1,0.8183685058665819,6000
hs,0.25,unbal2,0.8211150323092753,6000
hs,0.25,adj,0.8096233555123499,6000
hs,0.3,bal,0.7783243867757015,6000
hs,0.3,unbal1,0.7998204519404957,6000
hs,0.3,unbal2,0.7800736965119279,6000
hs,0.3,adj,0.7855217661691342,6000
ol,0.05,bal,0.899946685117123,6000
ol,0.05,unbal1,0.8867881480810526,6000
ol,0.05,unbal2,0.9208372129453816,6000
ol,0.05,adj,0.9166373866339761,6000
ol,0.1,bal,0.8807033872353947,6000
ol,0.1,unbal1,0.8839835876662243,6000
ol,0.1,unbal2,0.883965593788064,6000
ol,0.1,adj,0.8739735578990588,6000
ol,0.15,bal,0.8872637070183338,6000
ol,0.15,unbal1,0.8772123467183255,6000
ol,0.15,unbal2,0.8683577007150064,6000
ol,0.15,adj,0.8931227936585484,6000
ol,0.2,bal,0.8660920488733346,6000
ol,0.2,unbal1,0.8812426642141542,6000
ol,0.2,unbal2,0.8632514918903317,6000
ol,0.2,adj,0.8672148135482021,6000
ol,0.25,bal,0.835517911242248,6000
ol,0.25,unbal1,0.8453730021881315,6000
ol,0.25,unbal2,0.8423549252925,6000
ol,0.25,adj,0.8268412211865807,6000
ol,0.3,bal,0.8322044671781756,6000
ol,0.3,unbal1,0.8152901856092579,6000
ol,0.3,unbal2,0.8204432698263625,6000
ol,0.3,adj,0.8333731564385771,6000
