L,X,mode,simulations,len_data
hs,0.05,bal,0.04650458084444209,6000
hs,0.05,unbal1,0.028904681635772145,6000
hs,0.05,unbal2,0.008286586307237553,6000
hs,0.05,adj,0.04727297737846775,6000
hs,0.1,bal,0.0594576725905141,6000
hs,0.1,unbal1,0.020015603890518263,6000
hs,0.1,unbal2,0.055191870370755514,6000
hs,0.1,adj,0.04345568032761421,6000
hs,0.15,bal,0.0440557219912609,6000
hs,0.15,unbal1,0.038727127782503756,6000
hs,0.15,unbal2,0.0383154658856491,6000
hs,0.15,adj,0.02955732045372328,6000
hs,0.2,bal,0.0682288856940137,6000
hs,0.2,unbal1,0.00207625577731263,6000
hs,0.2,unbal2,0.06974108325449957,6000
hs,0.2,adj,0.0600852359296547,6000
hs,0.25,bal,0.09114903700020571,6000
hs,0.25,unbal1,0.042441564563247935,6000
hs,0.25,unbal2,0.08711211883607842,6000
hs,0.25,adj,0.032583375279274185,6000
hs,0.3,bal,0.024926651882794137,6000
hs,0.3,unbal1,0.0063464942302968175,6000
hs,0.3,unbal2,0.11934542629602887,6000
hs,0.3,adj,0.04754755649235509,6000
ol,0.05,bal,0.015702391101171553,6000
ol,0.05,unbal1,0.0019692803305884077,6000
ol,0.05,unbal2,0.003510839154819645,6000
ol,0.05,adj,0.0029551148618260914,6000
ol,0.1,bal,0.0045717659913002695,6000
ol,0.1,unbal1,0.038369180206581865,6000
ol,0.1,unbal2,0.05440929040908804,6000
ol,0.1,adj,0.0019653505437077223,6000
ol,0.15,bal,0.0014683608062565634,6000
ol,0.15,unbal1,0.0335181599758565,6000
ol,0.15,unbal2,0.059988123304769325,6000
ol,0.15,adj,0.040921261125802966,6000
ol,0.2,bal,0.02281206564406557,6000
ol,0.2,unbal1,0.025334641331930974,6000
ol,0.2,unbal2,0.07012880348985395,6000
ol,0.2,adj,0.008474630934993455,6000
ol,0.25,bal,0.03144800240298118,6000
ol,0.25,unbal1,0.06303038669874272,6000
ol,0.25,unbal2,0.07089702089627586,6000
ol,0.25,adj,0.005449712539712603,6000
ol,0.3,bal,0.011659766437609909,6000
ol,0.3,unbal1,0.0847115070799987,6000
ol,0.3,unbal2,0.09297866275707883,6000
ol,0.3,adj,0.04816209793289494,6000
