L,X,mode,simulations,len_data
hs,0.05,bal,0.3167714821461787,732
hs,0.05,unbal1,0.5793140264293486,732
hs,0.05,unbal2,0.5560711830469584,732
hs,0.05,adj,0.5667755654847477,732
hs,0.1,bal,0.49971980432353796,732
hs,0.1,unbal1,0.4738198614324604,732
hs,0.1,unbal2,0.41661102414209383,732
hs,0.1,adj,0.4305585200199828,732
hs,0.15,bal,0.4833776061226674,732
hs,0.15,unbal1,0.4611342598501141,732
hs,0.15,unbal2,0.3821726575620647,732
hs,0.15,adj,0.373978261374821,732
hs,0.2,bal,0.33485234962733135,732
hs,0.2,unbal1,0.45613992584912255,732
hs,0.2,unbal2,0.37094342172840405,732
hs,0.2,adj,0.5005282022699276,732
hs,0.25,bal,0.48816784616075926,732
hs,0.25,unbal1,0.45613992584912255,732
hs,0.25,unbal2,0.37094342172840405,732
hs,0.25,adj,0.49863914675711407,732
hs,0.3,bal,0.33485234962733135,732
hs,0.3,unbal1,0.43858097576278865,732
hs,0.3,unbal2,0.37094342172840405,732
hs,0.3,adj,0.33485234962733135,732
ol,0.05,bal,0.3667653125280244,540
ol,0.05,unbal1,0.5322951642692976,540
ol,0.05,unbal2,0.5041777162842537,540
ol,0.05,adj,0.3667653125280244,540
ol,0.1,bal,0.5050071895896117,540
ol,0.1,unbal1,0.5050073251229403,540
ol,0.1,unbal2,0.4692799602755215,540
ol,0.1,adj,0.5050071895896117,540
ol,0.15,bal,0.33539297620678626,540
ol,0.15,unbal1,0.5050073251229403,540
ol,0.15,unbal2,0.44857667976657434,540
ol,0.15,adj,0.33539297620678626,540
ol,0.2,bal,0.33539297620678626,540
ol,0.2,unbal1,0.49124442167803234,540
ol,0.2,unbal2,0.44857667976657434,540
ol,0.2,adj,0.33539297620678626,540
ol,0.25,bal,0.33539297620678626,540
ol,0.25,unbal1,0.479595257715649,540
ol,0.25,unbal2,0.44857667976657434,540
ol,0.25,adj,0.33539297620678626,540
ol,0.3,bal,0.4980556494023411,540
ol,0.3,unbal1,0.479595257715649,540
ol,0.3,unbal2,0.44857667976657434,540
ol,0.3,adj,0.48761171316771196,540
