L,X,mode,simulations,len_data
hs,0.05,bal,0.0022905053988180324,732
hs,0.05,unbal1,0.0060763525506837834,732
hs,0.05,unbal2,0.02188789408063624,732
hs,0.05,adj,0.023274094876044427,732
hs,0.1,bal,0.02492320478939608,732
hs,0.1,unbal1,0.0286256713945357,732
hs,0.1,unbal2,0.01751385399552635,732
hs,0.1,adj,0.02358065022796868,732
hs,0.15,bal,0.023046277846143604,732
hs,0.15,unbal1,0.011993648315387906,732
hs,0.15,unbal2,0.01565689460827363,732
hs,0.15,adj,0.024527248072494012,732
hs,0.2,bal,0.02417203650448496,732
hs,0.2,unbal1,0.02647608727053874,732
hs,0.2,unbal2,0.014692903672411162,732
hs,0.2,adj,0.024958582328316936,732
hs,0.25,bal,0.022710483582293328,732
hs,0.25,unbal1,0.025726415094782018,732
hs,0.25,unbal2,0.012863739592130052,732
hs,0.25,adj,0.023693008501021517,732
hs,0.3,bal,0.025394039922724654,732
hs,0.3,unbal1,0.024881231849962215,732
hs,0.3,unbal2,0.012455526792286509,732
hs,0.3,adj,0.024837805469179408,732
ol,0.05,bal,0.02339601763972521,540
ol,0.05,unbal1,0.02725956422311282,540
ol,0.05,unbal2,0.020809617130844615,540
ol,0.05,adj,0.023896703278576847,540
ol,0.1,bal,0.021292760283858625,540
ol,0.1,unbal1,0.026526132866188212,540
ol,0.1,unbal2,0.019685681307757275,540
ol,0.1,adj,0.02182057928155967,540
ol,0.15,bal,0.005323199960920455,540
ol,0.15,unbal1,0.02597068362765842,540
ol,0.15,unbal2,0.017060638268788675,540
ol,0.15,adj,0.024837882783677934,540
ol,0.2,bal,0.024031670181839604,540
ol,0.2,unbal1,0.024464540304961035,540
ol,0.2,unbal2,0.017141231519204658,540
ol,0.2,adj,0.023847939526593254,540
ol,0.25,bal,0.025564322648224946,540
ol,0.25,unbal1,0.0019195541187568832,540
ol,0.25,unbal2,0.016907106947015804,540
ol,0.25,adj,0.0251992137343795,540
ol,0.3,bal,0.021988969643910727,540
ol,0.3,unbal1,0.02410764058430981,540
ol,0.3,unbal2,0.01579288933012213,540
ol,0.3,adj,0.022918908066219656,540
