L,X,mode,simulations,len_data
hs,0.05,bal,0.0020350261464145425,732
hs,0.05,unbal1,0.028963829129120044,732
hs,0.05,unbal2,0.0064604868328636544,732
hs,0.05,adj,0.008631915310041538,732
hs,0.1,bal,0.023637053028482014,732
hs,0.1,unbal1,0.03277793829558334,732
hs,0.1,unbal2,0.03706816190578904,732
hs,0.1,adj,0.004152447082957367,732
hs,0.15,bal,0.025603140703315874,732
hs,0.15,unbal1,0.03673495057502074,732
hs,0.15,unbal2,0.045607370170739125,732
hs,0.15,adj,0.0017287523694377582,732
hs,0.2,bal,0.006174256697378588,732
hs,0.2,unbal1,0.038477084545489815,732
hs,0.2,unbal2,0.05044152440269134,732
hs,0.2,adj,0.02302964629371307,732
hs,0.25,bal,0.02454955460595304,732
hs,0.25,unbal1,0.04062300285354992,732
hs,0.25,unbal2,0.05686613037937982,732
hs,0.25,adj,0.02485763049516526,732
hs,0.3,bal,0.0012566790554693341,732
hs,0.3,unbal1,0.044001628759780254,732
hs,0.3,unbal2,0.05905083030299413,732
hs,0.3,adj,0.010603625135994943,732
ol,0.05,bal,0.03416220298519851,540
ol,0.05,unbal1,0.037256048961922084,540
ol,0.05,unbal2,0.03985328228385371,540
ol,0.05,adj,0.010594176098152552,540
ol,0.1,bal,0.035503222235926946,540
ol,0.1,unbal1,0.04123087428234251,540
ol,0.1,unbal2,0.041423091976731,540
ol,0.1,adj,0.016486366280803022,540
ol,0.15,bal,0.0045609307289122825,540
ol,0.15,unbal1,0.041139117744233844,540
ol,0.15,unbal2,0.0503985761271582,540
ol,0.15,adj,0.0011178766356574332,540
ol,0.2,bal,0.006848394164332694,540
ol,0.2,unbal1,0.04231637257116805,540
ol,0.2,unbal2,0.049617229611785274,540
ol,0.2,adj,0.006827161753619082,540
ol,0.25,bal,0.004278119846626516,540
ol,0.25,unbal1,0.045207632471014,540
ol,0.25,unbal2,0.05291492762389011,540
ol,0.25,adj,0.0006768866821571518,540
ol,0.3,bal,0.012347507874170993,540
ol,0.3,unbal1,0.045031899611155224,540
ol,0.3,unbal2,0.05498916414048943,540
ol,0.3,adj,0.03533496763971122,540
