L,X,mode,simulations,len_data
hs,0.05,bal,0.015733337337202002,732
hs,0.05,unbal1,0.0018820640819320333,732
hs,0.05,unbal2,0.0015587440605371872,732
hs,0.05,adj,0.002937790344321678,732
hs,0.1,bal,0.004126654687474918,732
hs,0.1,unbal1,0.0013326381073622273,732
hs,0.1,unbal2,0.0020428032171531663,732
hs,0.1,adj,0.004562634815935163,732
hs,0.15,bal,0.0019376524810583162,732
hs,0.15,unbal1,0.00024462553972759427,732
hs,0.15,unbal2,0.003265396721376046,732
hs,0.15,adj,0.006277955229816612,732
hs,0.2,bal,0.012480666533194018,732
hs,0.2,unbal1,0.0003391200076034995,732
hs,0.2,unbal2,0.004082556989023545,732
hs,0.2,adj,0.002353403053648506,732
hs,0.25,bal,0.0018662566044291284,732
hs,0.25,unbal1,0.00043600260234272215,732
hs,0.25,unbal2,0.00449282956905056,732
hs,0.25,adj,0.002443060523173779,732
hs,0.3,bal,0.010674040695357101,732
hs,0.3,unbal1,0.0011953795868191452,732
hs,0.3,unbal2,0.0054239465890686955,732
hs,0.3,adj,0.008252652811873762,732
ol,0.05,bal,0.0007405719933687438,540
ol,0.05,unbal1,0.005182691591757438,540
ol,0.05,unbal2,0.0060622197168845315,540
ol,0.05,adj,4.80719848916511e-05,540
ol,0.1,bal,0.005389024504908857,540
ol,0.1,unbal1,0.0060287691045691205,540
ol,0.1,unbal2,0.007245926415478832,540
ol,0.1,adj,0.005404179316979896,540
ol,0.15,bal,0.0024290384186639313,540
ol,0.15,unbal1,0.0061884944968753075,540
ol,0.15,unbal2,0.009043645726309835,540
ol,0.15,adj,0.0018406452072992074,540
ol,0.2,bal,0.001598431622540586,540
ol,0.2,unbal1,0.006882704010716112,540
ol,0.2,unbal2,0.00892258423346054,540
ol,0.2,adj,0.0013639271700822686,540
ol,0.25,bal,0.0006570423090899169,540
ol,0.25,unbal1,0.007357177027949635,540
ol,0.25,unbal2,0.009325034309316638,540
ol,0.25,adj,0.00169039876372723,540
ol,0.3,bal,0.005878758165571485,540
ol,0.3,unbal1,0.007636238866382206,540
ol,0.3,unbal2,0.009825617472330794,540
ol,0.3,adj,0.005092836485968699,540
